0.638,1814
0.64,1816.5
0.642,1818.9
0.644,1821.4
0.646,1823.9
0.648,1826.4
0.65,1828.9
0.652,1831.5
0.654,1833.9
0.656,1836.4
0.658,1838.9
0.66,1841.4
0.662,1843.8
0.664,1846.2
0.666,1848.7
0.668,1851.1
0.67,1853.5
0.672,1855.9
0.674,1858.2
0.676,1860.6
0.678,1863
0.68,1865.3
0.682,1867.6
0.684,1870
0.686,1872.3
0.688,1874.6
0.69,1876.8
0.692,1878.9
0.694,1880.9
0.696,1883
0.698,1885.1
0.7,1887.1
0.702,1889.2
0.704,1891.2
0.706,1893.3
0.708,1895.3
0.71,1897.3
0.712,1899.3
0.714,1901.5
0.716,1903.9
0.718,1906.3
0.72,1908.7
0.722,1911.1
0.724,1913.4
0.726,1915.6
0.728,1917.6
0.73,1919.6
0.732,1921.6
0.734,1923.5
0.736,1925.4
0.738,1927.2
0.74,1929
0.742,1930.8
0.744,1932.7
0.746,1934.5
0.748,1936.3
0.75,1938.1
0.752,1939.8
0.754,1941.6
0.756,1943.4
0.758,1945.4
0.76,1947.6
0.762,1949.7
0.764,1951.9
0.766,1954.1
0.768,1956.2
0.77,1958.4
0.772,1960.5
0.774,1962.6
0.776,1964.7
0.778,1966.8
0.78,1968.9
0.782,1971
0.784,1973.1
0.786,1975.2
0.788,1977.3
0.79,1979.3
0.792,1981.4
0.794,1983.4
0.796,1985.5
0.798,1987.5
0.8,1989.5
0.802,1991.6
0.804,1993.6
0.806,1995.6
0.808,1997.6
0.81,1999.6
0.812,2001.6
0.814,2003.5
0.816,2005.5
0.818,2007.4
0.82,2009.1
0.822,2010.9
0.824,2012.6
0.826,2014.4
0.828,2016.1
0.83,2017.9
0.832,2019.6
0.834,2021.3
0.836,2023.1
0.838,2024.8
0.84,2026.5
0.842,2030.7
0.844,2038
0.846,2045.3
0.848,2052.5
0.85,2059.7
0.852,2066.9
0.854,2074.4
0.856,2082.1
0.858,2089.9
0.86,2097.6
0.862,2105.2
0.864,2112.9
0.866,2120.5
0.868,2128.1
0.87,2135.2
0.872,2141.9
0.874,2148.6
0.876,2155.2
0.878,2161.9
0.88,2168.5
0.882,2175.3
0.884,2182.3
0.886,2189.3
0.888,2196.3
0.89,2202.4
0.892,2207.6
0.894,2210.9
0.896,2212.4
0.898,2214
0.9,2215.5
0.902,2216.9
0.904,2218.2
0.906,2219.5
0.908,2220.7
0.91,2222
0.912,2223.2
0.914,2224.5
0.916,2225.8
0.918,2227.5
0.92,2229.8
0.922,2231.7
0.924,2233.1
0.926,2234.6
0.928,2236.1
0.93,2237.6
0.932,2239
0.934,2240.5
0.936,2242
0.938,2243.5
0.94,2244.9
0.942,2246.4
0.944,2247.8
0.946,2249.2
0.948,2250.6
0.95,2252
0.952,2253.3
0.954,2254.7
0.956,2256.1
0.958,2257.6
0.96,2259
0.962,2260.5
0.964,2262
0.966,2263.5
0.968,2264.9
0.97,2266.4
0.972,2267.9
0.974,2269.3
0.976,2270.8
